iter	Passed	Remaining
0	1948	1946612
1	1949	972985
2	1951	648391
3	1952	486088
4	1953	388721
5	1954	323785
6	1955	277400
7	1956	242610
8	1957	215545
9	1958	193899
10	1959	176185
11	1960	161424
12	1961	148934
13	1962	138242
14	1963	128964
15	1965	120849
16	1966	113689
17	1967	107321
18	1968	101638
19	1969	96515
20	1970	91878
21	1971	87657
22	1972	83807
23	1974	80276
24	1975	77043
25	1976	74047
26	1977	71268
27	1978	68688
28	1979	66284
29	1980	64041
30	1981	61945
31	1982	59979
32	1983	58133
33	1984	56395
34	1986	54757
35	1987	53208
36	1988	51742
37	1989	50354
38	1990	49039
39	1991	47787
40	1992	46597
41	1993	45466
42	1994	44390
43	1995	43363
44	1996	42377
45	1997	41434
46	1998	40531
47	1999	39666
48	2001	38837
49	2002	38040
50	2003	37275
51	2004	36537
52	2005	35830
53	2006	35149
54	2007	34491
55	2008	33856
56	2009	33244
57	2010	32652
58	2011	32080
59	2012	31527
60	2013	30995
61	2014	30478
62	2015	29977
63	2016	29492
64	2017	29021
65	2018	28565
66	2019	28122
67	2020	27687
68	2021	27271
69	2022	26868
70	2023	26474
71	2024	26091
72	2025	25718
73	2026	25356
74	2027	25003
75	2028	24660
76	2029	24327
77	2030	24002
78	2031	23686
79	2032	23376
80	2033	23074
81	2034	22781
82	2036	22494
83	2037	22215
84	2037	21937
85	2039	21670
86	2039	21406
87	2040	21150
88	2041	20900
89	2042	20655
90	2043	20416
91	2044	20181
92	2045	19952
93	2046	19728
94	2048	19511
95	2049	19298
96	2050	19091
97	2052	18888
98	2053	18688
99	2054	18492
100	2055	18299
101	2056	18104
102	2057	17919
103	2058	17736
104	2059	17557
105	2061	17383
106	2062	17209
107	2063	17039
108	2064	16874
109	2065	16709
110	2066	16550
111	2067	16392
112	2068	16236
113	2069	16083
114	2070	15934
115	2071	15785
116	2072	15639
117	2073	15497
118	2074	15355
119	2075	15219
120	2076	15083
121	2077	14950
122	2077	14815
123	2079	14687
124	2080	14560
125	2081	14435
126	2082	14311
127	2082	14188
128	2083	14069
129	2084	13952
130	2085	13836
131	2086	13721
132	2087	13609
133	2088	13498
134	2089	13389
135	2090	13281
136	2091	13175
137	2092	13070
138	2093	12968
139	2094	12866
140	2095	12766
141	2096	12668
142	2097	12570
143	2098	12474
144	2099	12380
145	2100	12287
146	2101	12195
147	2102	12104
148	2103	12014
149	2104	11925
150	2105	11838
151	2106	11752
152	2107	11667
153	2108	11583
154	2109	11500
155	2110	11418
156	2111	11337
157	2112	11257
158	2113	11178
159	2114	11101
160	2115	11024
161	2116	10948
162	2117	10873
163	2118	10800
164	2119	10728
165	2120	10655
166	2121	10583
167	2122	10513
168	2123	10443
169	2124	10374
170	2125	10306
171	2127	10239
172	2128	10173
173	2129	10107
174	2130	10041
175	2131	9977
176	2132	9914
177	2133	9851
178	2134	9789
179	2135	9727
180	2136	9665
181	2137	9605
182	2138	9546
183	2139	9486
184	2140	9428
185	2141	9370
186	2141	9312
187	2143	9255
188	2143	9199
189	2144	9144
190	2145	9089
191	2147	9035
192	2148	8981
193	2149	8928
194	2150	8876
195	2151	8823
196	2152	8773
197	2153	8722
198	2154	8671
199	2155	8621
200	2156	8571
201	2157	8521
202	2158	8473
203	2159	8424
204	2160	8377
205	2161	8329
206	2162	8283
207	2163	8236
208	2164	8191
209	2165	8145
210	2166	8100
211	2167	8055
212	2168	8011
213	2169	7967
214	2170	7923
215	2171	7880
216	2172	7838
217	2173	7795
218	2174	7753
219	2175	7711
220	2176	7670
221	2176	7629
222	2177	7588
223	2178	7548
224	2179	7508
225	2181	7469
226	2182	7430
227	2183	7391
228	2184	7353
229	2185	7315
230	2186	7277
231	2187	7240
232	2188	7202
233	2189	7166
234	2190	7129
235	2191	7093
236	2192	7057
237	2193	7021
238	2193	6985
239	2194	6950
240	2196	6916
241	2197	6881
242	2197	6847
243	2198	6813
244	2199	6779
245	2200	6745
246	2201	6712
247	2202	6679
248	2203	6646
249	2204	6614
250	2205	6582
251	2206	6550
252	2207	6518
253	2208	6486
254	2209	6455
255	2210	6424
256	2211	6394
257	2212	6363
258	2213	6333
259	2214	6303
260	2215	6273
261	2216	6244
262	2217	6214
263	2218	6185
264	2219	6156
265	2220	6127
266	2221	6099
267	2222	6070
268	2223	6043
269	2224	6015
270	2225	5987
271	2226	5959
272	2227	5932
273	2228	5905
274	2229	5877
275	2230	5851
276	2231	5824
277	2232	5798
278	2233	5772
279	2234	5746
280	2235	5720
281	2236	5694
282	2237	5668
283	2238	5643
284	2239	5618
285	2240	5593
286	2241	5568
287	2242	5544
288	2243	5520
289	2244	5495
290	2245	5471
291	2246	5447
292	2247	5423
293	2248	5399
294	2249	5376
295	2250	5352
296	2251	5329
297	2252	5306
298	2253	5283
299	2254	5260
300	2255	5237
301	2256	5215
302	2257	5192
303	2258	5170
304	2259	5148
305	2260	5126
306	2261	5104
307	2262	5082
308	2263	5061
309	2264	5039
310	2265	5018
311	2266	4997
312	2267	4976
313	2268	4955
314	2269	4934
315	2270	4914
316	2271	4893
317	2272	4872
318	2273	4852
319	2274	4832
320	2274	4812
321	2275	4792
322	2276	4772
323	2277	4752
324	2278	4732
325	2279	4713
326	2280	4693
327	2281	4674
328	2282	4655
329	2283	4636
330	2284	4618
331	2286	4599
332	2287	4581
333	2288	4562
334	2289	4544
335	2290	4525
336	2291	4507
337	2292	4489
338	2293	4471
339	2294	4454
340	2295	4436
341	2296	4418
342	2297	4400
343	2298	4384
344	2299	4366
345	2301	4349
346	2302	4332
347	2303	4315
348	2304	4298
349	2305	4281
350	2306	4264
351	2307	4247
352	2308	4230
353	2309	4214
354	2310	4197
355	2311	4181
356	2312	4165
357	2313	4149
358	2314	4133
359	2315	4117
360	2316	4101
361	2317	4085
362	2318	4069
363	2319	4053
364	2321	4038
365	2322	4022
366	2323	4006
367	2323	3991
368	2324	3975
369	2325	3960
370	2326	3945
371	2327	3930
372	2329	3915
373	2330	3900
374	2331	3885
375	2332	3870
376	2333	3856
377	2334	3841
378	2335	3827
379	2337	3813
380	2338	3799
381	2339	3785
382	2340	3770
383	2342	3757
384	2343	3743
385	2344	3729
386	2345	3715
387	2347	3702
388	2348	3688
389	2349	3674
390	2350	3661
391	2351	3647
392	2352	3633
393	2353	3620
394	2354	3606
395	2355	3593
396	2357	3580
397	2358	3566
398	2359	3553
399	2360	3540
400	2361	3527
401	2362	3514
402	2363	3501
403	2364	3488
404	2365	3475
405	2366	3462
406	2367	3450
407	2369	3437
408	2370	3424
409	2370	3411
410	2372	3399
411	2373	3386
412	2374	3374
413	2375	3361
414	2376	3349
415	2377	3336
416	2377	3324
417	2378	3312
418	2379	3300
419	2380	3287
420	2381	3275
421	2383	3263
422	2384	3252
423	2385	3240
424	2385	3228
425	2387	3216
426	2388	3204
427	2389	3192
428	2389	3181
429	2391	3169
430	2392	3157
431	2392	3146
432	2393	3134
433	2394	3123
