iter	Passed	Remaining
0	149	148859
1	150	75143
2	152	50576
3	153	38187
4	154	30803
5	156	25854
6	157	22336
7	158	19685
8	163	17950
9	165	16387
10	166	14994
11	168	13835
12	169	12849
13	171	12044
14	172	11320
15	176	10851
16	177	10277
17	178	9762
18	180	9304
19	181	8890
20	182	8519
21	184	8182
22	185	7868
23	186	7582
24	187	7320
25	191	7189
26	193	6959
27	194	6747
28	195	6548
29	196	6363
30	198	6204
31	200	6055
32	201	5903
33	203	5773
34	204	5644
35	205	5511
36	207	5392
37	208	5280
38	209	5170
39	211	5066
40	212	4965
41	213	4870
42	214	4781
43	216	4694
44	219	4650
45	220	4570
46	221	4492
47	222	4417
48	224	4349
49	225	4281
50	226	4216
51	227	4153
52	228	4091
53	230	4032
54	233	4007
55	234	3952
56	235	3898
57	236	3848
58	238	3800
59	239	3751
60	240	3704
61	241	3659
62	243	3616
63	244	3573
64	245	3531
65	247	3503
66	248	3466
67	250	3430
68	251	3393
69	252	3357
70	253	3322
71	255	3287
72	256	3254
73	257	3221
74	258	3190
75	262	3187
76	263	3156
77	264	3127
78	265	3098
79	266	3069
80	268	3042
81	269	3015
82	269	2982
83	271	2956
84	272	2931
85	273	2906
86	276	2900
87	278	2883
88	279	2859
89	280	2838
90	282	2817
91	283	2795
92	284	2774
93	286	2757
94	287	2736
95	288	2716
96	291	2710
97	292	2691
98	293	2671
99	295	2655
100	296	2636
101	297	2618
102	298	2600
103	299	2583
104	301	2565
105	302	2548
106	303	2532
107	306	2531
108	307	2515
109	308	2499
110	310	2483
111	311	2469
112	312	2455
113	314	2440
114	315	2426
115	316	2412
116	317	2395
117	318	2381
118	322	2384
119	323	2369
120	324	2355
121	325	2340
122	326	2328
123	327	2315
124	329	2303
125	330	2295
126	331	2280
127	332	2268
128	336	2272
129	337	2260
130	338	2248
131	340	2236
132	341	2224
133	342	2212
134	343	2201
135	344	2190
136	345	2179
137	347	2168
138	348	2157
139	351	2159
140	352	2148
141	353	2135
142	354	2124
143	355	2114
144	356	2105
145	358	2094
146	359	2085
147	360	2075
148	361	2066
149	362	2056
150	366	2059
151	367	2050
152	368	2042
153	370	2033
154	371	2024
155	372	2016
156	373	2008
157	375	1999
158	376	1991
159	380	1996
160	381	1988
161	383	1983
162	385	1978
163	386	1970
164	388	1964
165	389	1955
166	390	1947
167	391	1940
168	393	1932
169	395	1929
170	396	1922
171	397	1914
172	398	1906
173	400	1900
